Polish sentence	English meaning	Frequency
On jest dżentelmenem. Nie mógł powiedzieć czegoś takiego.	He is a gentleman. He cannot have said such a thing.	[ 65 1 4000+ 5 329 291 410 317 ]
Czy jutro powinienem czekać na Ciebie przed operą?	Should I wait for you tomorrow in front of the opera house?	[ 67 106 403 691 4 75 89 4000+ ]
Chciałbym mieć więcej czasu na rozmowę z Tobą.	I wish I had more time to talk with you.	[ 469 166 113 549 4 4000+ 8 127 ]
Nikt go nie lubi, bo zawsze się przechwala.	Nobody likes him, because he is always blowing his own horn.	[ 1018 21 5 35 287 79 2 4000+ ]
Znamy się z twoim wujem od wielu lat.	Your uncle and I have known each other for many years.	[ 606 2 8 140 4000+ 29 221 456 ]
Proszę, powiedz mi dokładnie o której on przyjechali.	Please tell me the precise time of their arrival.	[ 216 587 9 439 13 188 65 4000+ ]
Wydaje mi się, że ona jest odrobinę samolubna.	It seems to me that she is a little selfish.	[ 552 9 2 10 125 1 819 4000+ ]
Ten list nigdy nie powinien był zostać wysłany.	This letter was never meant to be sent.	[ 23 191 295 5 921 28 85 4000+ ]
To lekarstwo samo w sobie nie jest trujące.	This medicine is not a poison in itself.	[ 6 686 791 3 71 5 1 4000+ ]
Nie ma żadnej nadziei, że on szybko przyjdzie.	There is no hope that he will come soon.	[ 5 12 1023 4000+ 10 65 101 361 ]
Powiedz mi proszę, co sądzisz o tym artykule.	Please tell me what you think about this article.	[ 587 9 216 22 728 13 46 4000+ ]
Doświadczenie uczy, że nie uczy ono ludzi niczego.	We learn from experience that men never learn anything from experience.	[ 614 134 10 5 134 4000+ 231 512 ]
To jest dobra okazja, żeby z nim porozmawiać.	This is good occasion to contact him.	[ 6 1 550 4000+ 205 8 194 706 ]
Nie muszę się dziś uczyć, chyba pooglądam telewizję.	I don't have to study tonight. I think I'll watch television for a while.	[ 5 162 2 69 136 252 4000+ 1099 ]
To biurko jest dla mnie odrobinę za niskie.	This desk is a little low for me.	[ 6 872 1 31 14 819 11 4000+ ]
Bardzo przepraszam, nie wiedziałem że to twoje miejsce.	I beg your pardon. I didn't think this was your seat.	[ 15 1316 5 4000+ 10 6 91 333 ]
Weszła do kuchni, ale nikogo tam nie było.	She came into the dining room to find it empty.	[ 851 7 4000+ 159 695 40 5 36 ]
Nie mogę skończyć pracy w tak krótkim czasie.	I can't finish the job in such a short time.	[ 5 24 699 294 3 54 4000+ 717 ]
Nie mam nikogo, kto mógłby podróżować ze mną.	I don't have anyone who'd travel with me.	[ 5 43 695 337 4000+ 417 45 298 ]
Nie bierz tego na poważnie. To tylko gra.	Don't be so serious. It's only a game.	[ 5 1619 19 4 4000+ 6 52 148 ]
Już nie jest taki pilny jak był wcześniej.	He is not so diligent as he used to be.	[ 25 5 1 167 4000+ 20 28 1610 ]
Nie mam nic do powiedzenia w tej sprawie.	I have nothing to say on this matter.	[ 5 43 126 7 4000+ 3 82 1652 ]
Sukces i porażka to dla mnie to samo.	Success or failure is all the same to me.	[ 1059 27 4000+ 6 31 14 6 791 ]
Jego ojciec je tam dwa razy w tygodniu.	His father eats there twice a week.	[ 34 115 187 40 109 1456 3 4000+ ]
Trzeba nie mieć serca, żeby coś takiego powiedzieć.	It is heartless of him to say so.	[ 967 5 166 4000+ 205 38 317 291 ]
Ojca w tej chwili nie ma w domu.	My dad is not at home for the moment.	[ 4000+ 3 82 1653 5 12 3 256 ]
Życie nie zawsze toczy się po naszej myśli.	Life doesn't always go the way we want it to.	[ 228 5 79 4000+ 2 16 678 1045 ]
Czy jest ktoś, kto potrafi wypowiedzieć to słowo?	Is there anyone who can pronounce this word?	[ 67 1 190 337 922 4000+ 6 535 ]
Mój starszy brat jest naprawdę wysoki, około 1,8m.	My elder brother is really tall, about 1.8m.	[ 41 1036 209 1 83 438 255 4000+ ]
Powiedział, że nie miał czasu na czytanie książek.	He told me that he had no time to read books.	[ 976 10 5 150 549 4 4000+ 405 ]
Skończyła pracę i nie ma nic do roboty.	Having done the work, she has nothing to do.	[ 1672 302 27 5 12 126 7 4000+ ]
Nic tutaj nie jest nigdy zrobione bez sporów.	Nothing is ever done here without dispute.	[ 126 78 5 1 295 1628 62 4000+ ]
Zarabianie pieniędzy to nie jest jedyny cel życia.	Making money is not the only goal in life.	[ 4000+ 448 6 5 1 945 431 406 ]
Czy jesteśmy pewni, że to jest prawdziwe życie?	Are we really sure that this is the real life?	[ 67 284 4000+ 10 6 1 1661 228 ]
Ona nie jest taka młoda, na jaką wygląda.	She is not as young as she looks.	[ 125 5 1 493 1560 4 4000+ 142 ]
Te okulary mi nie pasują. Są za duże.	These glasses do not fit me well. They are too large.	[ 130 1616 9 5 4000+ 17 11 608 ]
Kiedy miałem pięć lat, chciałem być kierowcą autobusu.	I wanted to be a bus driver when I was five.	[ 155 372 157 456 139 50 1078 4000+ ]
Dumny jest z tego, że jest obywatelem brytyjskim.	He is proud of being a British subject.	[ 1234 1 8 19 10 1 1170 4000+ ]
Mój wuj odwiedza mnie od czasu do czasu.	My uncle comes to see me from time to time.	[ 41 4000+ 1259 14 29 549 7 549 ]
Proszę przesunąć się, by ta pani mogła przejść.	Please move out of the way so this lady can go through.	[ 216 4000+ 2 121 161 305 455 1219 ]
Moja matka posiada prawo jazdy, ale nie jeździ.	My mother has a driver's license, but she doesn't drive.	[ 96 177 4000+ 627 1237 159 5 214 ]
Moim zdaniem ta książka nie jest zbyt ciekawa.	I think that that book is not so interesting.	[ 102 4000+ 161 90 5 1 108 2052 ]
Rodzice zawsze się martwią o przyszłość swoich dzieci.	Parents are always worried about the future of their children.	[ 340 79 2 4000+ 13 1720 175 204 ]
Miałem nadzieję, że ożenię się za życia mamy.	I hoped that I would marry while my mother was still alive.	[ 372 1680 10 4000+ 2 11 406 153 ]
Albo ty jesteś w błędzie, albo twój przyjaciel.	Either you or your friend is wrong.	[ 768 98 49 3 4000+ 768 39 929 ]
Ta dziewczyna, która mieszka obok jest bardzo ładna.	The girl who lives next door is very pretty.	[ 161 865 1155 180 280 1 15 4000+ ]
(On) jest bardzo miły, dlatego wszyscy go lubią.	He is so nice that everyone likes him.	[ 4000+ 1 15 641 1489 201 21 318 ]
Boli mnie ząb i chcę iść do dentysty.	I have a toothache and I want to go to the dentist.	[ 1351 14 1161 27 77 88 7 4000+ ]
John zna historię Anglii od A do Z.	John knows English history from A to Z.	[ 4000+ 259 775 1355 29 307 7 8 ]
Zawsze zostaje w łóżku tak długo jak może.	He always stays in bed as late as he can.	[ 79 2543 3 4000+ 54 112 20 53 ]
Niestety, moje urodziny są tylko raz do roku.	Unfortunately, my birthday is only once a year.	[ 4000+ 64 1701 17 52 570 7 463 ]
Nie jesteś lepszy ode mnie w zapamiętywaniu rzeczy.	You are no better at remembering things than I am.	[ 5 49 2190 292 14 3 4000+ 338 ]
On nie ma czasu na grę w karty.	He doesn't have the time to play cards.	[ 65 5 12 549 4 2303 3 4000+ ]
Nie stać mnie na 40 dolarów za książkę!	I can't afford $40 for one book!	[ 5 1365 14 4 4000+ 1417 11 141 ]
Nowy dom towarowy będzie otwarty w przyszłym miesiącu.	The new department store will be opened next month.	[ 99 103 4000+ 51 1595 3 576 579 ]
Miło nam będzie ponownie się z panem spotkać.	We are all looking forward to seeing you.	[ 4000+ 186 51 991 2 8 784 1039 ]
Wygląda na to, że jest kwadrans po dziesiątej.	It looks like it's quarter past ten now.	[ 142 4 6 10 1 2925 16 4000+ ]
Nie robi mi różnicy, czy pójdziesz, czy zostaniesz.	It's all the same to me whether you go or stay.	[ 5 388 9 4000+ 67 1724 67 855 ]
Przepraszam, że nie odpowiedziałem na twój list wcześniej.	Sorry I haven't replied to your letter earlier.	[ 1316 10 5 4000+ 4 39 191 1610 ]
Czy możesz mi powiedzieć jak korzystać z telefonu?	Could you tell me how to use the telephone?	[ 67 104 9 291 20 4000+ 8 2682 ]
Samochód jest niezbędny, jeśli się mieszka na przedmieściach.	A car is a must for life in the suburbs.	[ 122 1 4000+ 178 2 180 4 2771 ]
Czy koniecznie musisz zadać pytanie, by znać odpowiedź?	Do you really need to ask the question to know the answer?	[ 67 4000+ 171 740 1032 121 419 841 ]
Mam nadzieję zobaczyć Ciebie następnym razem w Tokio.	I hope to see you the next time you are in Tokyo.	[ 43 1680 182 75 518 890 3 4000+ ]
Ten nowy odtwarzacz zrobił na mnie duże wrażenie.	I was impressed by the new MP3 player.	[ 23 99 1839 831 4 14 608 4000+ ]
Jak śmiesz, w ten sposób ze mną rozmawiać?!	How dare you talk to me like that!	[ 20 2321 3 23 723 45 298 4000+ ]
Nawet gdyby wszyscy inni, ja i tak nie.	Even if all others, I will not	[ 404 4000+ 201 2636 206 27 54 5 ]
Mój wujek mieszkał w Waszyngtonie przez dwa lata.	My uncle lived in Washington, D. C. for two years.	[ 41 1038 1819 3 4000+ 48 109 558 ]
Najbardziej głusi są ci co nie chcą słuchać.	There are none so deaf as those who won't hear.	[ 1687 4000+ 17 18 22 5 1580 306 ]
Żaden z moich rodziców nie gra w golfa.	Both of my parents do not play golf.	[ 1707 8 207 4000+ 5 148 3 1607 ]
Gdy dzwonię do nich, to nikt nie odpowiada.	When I phone them nobody answers.	[ 222 4000+ 7 1429 6 1018 5 1001 ]
Pokój bez książek jest jak ciało bez duszy.	A room without books is like a body without a soul.	[ 143 62 405 1 20 3021 62 4000+ ]
Tego poranka nie byłem w szkole na czas.	I wasn't in time for school this morning.	[ 19 4000+ 5 124 3 3385 4 248 ]
Spałem dobrze, po czym poczułem się znacznie lepiej.	I slept well, after which I felt much better.	[ 2322 80 16 152 4000+ 2 687 557 ]
Nie wiem, czy on przyjedzie pociągiem, czy samochodem?	I don't know whether he will come by train or by car.	[ 5 154 67 65 4000+ 2517 67 944 ]
Przyjdę się z tobą spotkać w następną niedzielę.	I will come to see you next Sunday.	[ 4000+ 2 8 127 1039 3 1649 1049 ]
Nigdy nie zapominaj zamknąć zamka, kiedy idziesz spać.	Never fail to lock the door when you go to bed.	[ 295 5 1512 485 4000+ 155 1095 435 ]
Czy dobrze ci się układa z twoim szefem?	Do you get along with your boss?	[ 67 80 18 2 4000+ 8 140 3700 ]
Będzie mi cię brakowało, jeśli wyjedziesz z Japonii.	I will badly miss you if you leave Japan.	[ 51 9 26 2891 178 4000+ 8 942 ]
Często bawiliśmy się w dom w tym parku.	We often played house in the park.	[ 128 4000+ 2 3 103 3 46 3820 ]
Przyszło mi do głowy, że on ukradł słownik.	It occurred to me that he must have stolen the dictionary.	[ 3137 9 7 4000+ 10 65 391 527 ]
Nigdy nie było dobrej wojny, ani złego pokoju.	There never was a good war nor a bad peace.	[ 295 5 36 411 1767 1344 4000+ 297 ]
Telefon zadzwonił jak zwykle, podczas gdy się kąpałem.	The phone rang while I was taking a bath, as usual.	[ 1046 1044 20 1524 308 222 2 4000+ ]
Jego żona jest naszą nauczycielką od języka włoskiego.	His wife is our Italian teacher.	[ 34 165 1 2028 1264 29 708 4000+ ]
W tej klasie jest więcej dziewcząt niż chłopców.	There are more girls than boys in this class.	[ 3 82 1596 1 113 4000+ 66 2385 ]
Powiedział, że nie zna człowieka, co było kłamstwem.	He said he did not know the man, which was a lie.	[ 976 10 5 259 3062 22 36 4000+ ]
To urządzenie w tej chwili stoi w bezruchu.	The machine is lying idle.	[ 6 1455 3 82 1653 1267 3 4000+ ]
Jakiś obcy zapytał mnie o drogę do szkoły.	A stranger asked me the way to the school.	[ 345 4000+ 2889 14 13 1009 7 232 ]
Kot gonił mysz, ale złapać jej nie mógł.	The cat chased the mouse, but couldn't catch it.	[ 574 2144 4000+ 159 1289 33 5 329 ]
Im więcej ma wolnego czasu tym jest szczęśliwszy.	The more leisure he has, the happier he is.	[ 994 113 12 2871 549 46 1 4000+ ]
Byłem w Rzymie pierwszy raz w moim życiu.	I visited Rome for the first time in my life.	[ 124 3 4000+ 477 570 3 102 3337 ]
Nie słuchaj zbyt głośno w tych nowych słuchawkach.	Make sure you don't listen too loud with these new earphones!	[ 5 2022 108 1765 3 321 600 4000+ ]
Ci, którzy go znają, dobrze o nim mówią.	Those who know him speak well of him.	[ 18 1787 21 4000+ 80 13 194 2868 ]
Wyłączyłem telewizor, ponieważ ten film widziałem już wcześniej.	I turned off the TV because I had seen the movie before.	[ 4000+ 952 1744 23 393 245 25 1610 ]
To jest komputer, na którym pisze swoje artykuły.	That's the computer on which he writes his articles.	[ 6 1 1477 4 3189 322 57 4000+ ]
Naprawdę za tobą tęskniłem, kiedy byłaś we Francji.	I really missed you when you were in France.	[ 83 11 127 3359 155 1187 195 4000+ ]
Czy on nie jest jakimś młodym amerykańskim studentem?	Isn't he a young American student?	[ 67 65 5 1 3065 655 1304 4000+ ]
Bardziej przykładam się do nauki angielskiego niż matematyki.	I don't study math as hard as English.	[ 213 4000+ 2 7 2915 572 66 1527 ]
On obserwował, kto wchodzi i wychodzi z domu.	He watched those who went in and out of the house.	[ 65 4000+ 337 3969 27 688 8 256 ]
Deszcz nie pozwolił nam dokończyć gry w tenisa.	The rain prevented us from finishing our game of tennis.	[ 1273 5 2351 186 4000+ 1169 3 458 ]
Czy możesz mi powiedzieć, kiedy przyjedzie następny autobus?	Can you tell me when the next bus will arrive?	[ 67 104 9 291 155 4000+ 3295 1590 ]
Ludzie, którzy wiecznie mówią o sobie, nudzą mnie.	People who talk about themselves all the time bore me.	[ 250 1787 599 2868 13 71 4000+ 14 ]
To fakt, że palenie jest groźne dla zdrowia.	It is a fact that smoking is a danger to health.	[ 6 2419 10 668 1 4000+ 31 2490 ]
Nie ważne jak mocno będzie padać, zaczynamy jutro.	However hard it may rain, we will start tomorrow.	[ 5 3595 20 386 51 1491 4000+ 106 ]
Nauczyciel ma bardzo duży wpływ na swoich uczniów.	The teacher has a great influence on his pupils.	[ 3871 12 15 409 4000+ 4 175 1205 ]
Był doskonałym naukowcem, a co więcej wielkim poetą.	He was an excellent scientist, and what is more, was a great poet.	[ 28 2076 4000+ 307 22 113 520 2754 ]
Im wcześniej wrócisz, tym szczęśliwszy będzie twój ojciec.	The sooner you return, the happier your father will be.	[ 994 1610 2990 46 4000+ 51 39 115 ]
Musimy jak najszybciej skończyć z tym złym zwyczajem.	We must put an end to a bad habit as soon as possible.	[ 828 20 1625 699 8 46 2681 4000+ ]
Jej opinie wydają mi się dziwne ale interesujące.	I find her opinions odd but interesting.	[ 33 4000+ 3780 9 2 620 159 1309 ]
Przeszłość możemy znać, ale przyszłość możemy tylko czuć.	We can know the past, but the future we can only feel.	[ 4000+ 242 419 159 1720 242 52 3128 ]
Zachowywała się, jakby nic o tym nie wiedziała.	She acted as if she knew nothing about it.	[ 4000+ 2 2727 126 13 46 5 3214 ]
To co się im wydarzyło wciąż pozostaje zagadką.	What happened to them is still a mystery.	[ 6 22 2 994 3556 218 1648 4000+ ]
Jako dziecko, po szkole, grałem zwykle w baseball.	As a kid I usually played baseball after school.	[ 210 293 16 3385 1047 1524 3 4000+ ]
To jest zdjęcie, które zrobiłem w zeszłym tygodniu.	This is a picture I took last week.	[ 6 1 700 750 3387 3 1713 4000+ ]
Mężczyzna podszedł do mnie i poprosił o ogień.	A man came up to me and asked for a match.	[ 1473 4000+ 7 14 27 3084 13 1991 ]
Pospiesz się albo spóźnisz się na ostatni pociąg.	Hurry up, or you will be late for the last train.	[ 1921 2 768 4000+ 2 4 581 3645 ]
Wydaje mi się, że masz zapalenie wyrostka robaczkowego.	I believe you have appendicitis.	[ 552 9 2 10 37 3169 3170 4000+ ]
Człowiek, który rozmawia z naszym szefem, to Hiroshi.	The man talking with our boss is Hiroshi.	[ 237 1152 1306 8 624 3700 6 4000+ ]
Niedziela jest dniem, gdy ludzie idą do kościoła.	Sunday is the day when people go to church.	[ 3976 1 4000+ 222 250 894 7 1717 ]
Prawdę mówiąc, nie pamiętam niczego, co wczoraj powiedziałem.	To tell the truth, I don't remember anything I said yesterday.	[ 3990 4000+ 5 946 512 22 60 1589 ]
Jeśli zostanę wybrany, zrobię wszystko dla moich wyborców.	Once elected, I will do my best for all of you who supported me.	[ 178 2295 916 3465 94 31 207 4000+ ]
Nie, to nie jest mój nowy chłopak.	No, he's not my new boyfriend.	[ 5 6 5 1 41 99 4000+ ]
W tym, co mówi, nie ma treści.	There is no substance in his speech.	[ 3 46 22 73 5 12 4000+ ]
To nie jest kot. To jest pies.	That's not a cat. It's a dog.	[ 6 5 1 4000+ 6 1 215 ]
Ona gotuje dla mnie to, co lubię.	She cooks things for me that I like.	[ 125 4000+ 31 14 6 22 47 ]
Nie ma żadnych pytań co do tego.	There's no question about that!	[ 5 12 185 4000+ 22 7 19 ]
On nie jest w stanie tego zrobić.	He isn't able to do that.	[ 65 5 1 3 4000+ 19 169 ]
Przykro mi, ale teraz go nie ma.	Sorry, but he is out now.	[ 4000+ 9 159 63 21 5 12 ]
To był najgorszy dzień w moim jedenastoletnim życiu.	This has been the most awful day in my eleven-year-old life.	[ 6 28 3660 363 3 102 4000+ 3337 ]
To jest książka z opowieściami dla dzieci.	This is a book of children's stories.	[ 6 1 90 8 4000+ 31 204 ]
Oprócz mojej siostry moja rodzina nie ogląda telewizji.	Apart from my sister, my family doesn't watch TV.	[ 1349 116 1576 96 4000+ 5 530 3868 ]
Nie wiem jak długo to będzie trwało.	I don't know how long it will last.	[ 5 154 20 112 6 51 4000+ ]
Wygląda na to, że wszyscy się mylicie.	It appears that you are all mistaken.	[ 142 4 6 10 201 2 4000+ ]
Nie jestem pewny, czy chcę to zobaczyć.	I'm not sure I want to see this.	[ 5 30 4000+ 67 77 6 182 ]
On nie umie pływać tak jak ona.	He can't swim like she can.	[ 65 5 118 4000+ 54 20 125 ]
Nie mówię do ciebie, tylko do małpy.	I'm not talking to you, I am talking to the monkey.	[ 5 247 7 75 52 7 4000+ ]
Ktoś się zjawił kiedy mnie nie było?	Did anyone come in my absence?	[ 190 2 4000+ 155 14 5 36 ]
Tęsknię za tobą gdy cię nie ma.	I miss you when you're not here.	[ 4000+ 11 127 222 26 5 12 ]
Mam to za sobą. Ty też powinieneś.	I got over it. You should, too.	[ 43 6 11 4000+ 98 138 158 ]
On nie ma kwalifikacji do tej pracy.	He is not qualified for the job.	[ 65 5 12 4000+ 7 82 294 ]
Domyślam się, że nie umiesz tego zrobić.	I guess that you can't do it.	[ 4000+ 2 10 5 285 19 169 ]
Tego słowa nie ma w moim słowniku.	The word is not in my dictionary.	[ 19 351 5 12 3 102 4000+ ]
Skarżył się, że pokój jest za mały.	He complained of the room being too small.	[ 4000+ 2 10 143 1 11 327 ]
Mam dużo pracy do zrobienia na jutro.	I have a lot of work to do tomorrow.	[ 43 42 294 7 4000+ 4 106 ]
Naprawdę się tego po tobie nie spodziewałem.	I really wasn't expecting that from you.	[ 83 2 19 16 389 5 4000+ ]
Ona nie może mieć więcej niż trzydziestki.	She can't be over thirty.	[ 125 5 53 166 113 66 4000+ ]
Nie ma sposobu, by znaleźć jego dom.	There's no way to find his house.	[ 5 12 4000+ 121 254 34 103 ]
Ona nigdy nie będzie o tym rozmawiać.	She will never talk about it.	[ 125 295 5 51 13 46 4000+ ]
Ona jest prawie tak wysoka jak ja.	She is about as tall as me.	[ 125 1 129 54 4000+ 20 206 ]
To coś, co zdarza się całkiem często.	That's something that happens quite often.	[ 6 38 22 4000+ 2 346 128 ]
Muszę już iść do żony, do domu.	I guess I should get home to the wife.	[ 162 25 88 7 4000+ 7 256 ]
Chyba wszystko już z nią w porządku.	She seems OK now.	[ 252 94 25 8 174 3 4000+ ]
Nie rozumiem Cię, musisz mówić trochę głośniej.	I don't understand you, you'll have to talk a little louder.	[ 5 173 26 171 110 72 4000+ ]
Jest wiedźmą, zupełnie tak jak jej matka.	She's a witch, just like her mother.	[ 1 4000+ 283 54 20 33 177 ]
